"actor","repository_language","pushes"
"marcomanzi","Clojure","17"
"brentonashworth","Clojure","104"
"marklar","Clojure","109"
"krisajenkins","Clojure","43"
"noqisofon","Clojure","24"
"robinkraft","Clojure","311"
"swannodette","Clojure","835"
"alexguev","Clojure","46"
"guns","Clojure","63"
"llj098","Clojure","5545"
"go717franciswang","Clojure","167"
"vothane","Clojure","32"
"zachlittrell","Clojure","224"
"cosbynator","Clojure","46"
"oubiwann","Clojure","124"
"bitemyapp","Clojure","145"
"iamedu","Clojure","68"
"seancorfield","Clojure","188"
"tomfaulhaber","Clojure","377"
"weejulius","Clojure","78"
"shriphani","Clojure","184"
"clojure-build","Clojure","131"
"ryankohl","Clojure","31"
"travis","Clojure","63"
"andreasfrom","Clojure","20"
"weavejester","Clojure","548"
"niwibe","Clojure","115"
"rxacevedo","Clojure","10"
"mccraigmccraig","Clojure","76"
"krisc","Clojure","45"
"marianobarrios","Clojure","19"
"Beyamor","Clojure","76"
"w01fe","Clojure","103"
"triposorbust","Clojure","68"
"devth","Clojure","182"
"apa512","Clojure","12"
"lunaryorn","Clojure","60"
"danneu","Clojure","89"
"joshuaeckroth","Clojure","266"
"pszals","Clojure","19"
"kaukeb","Clojure","16"
"llasram","Clojure","78"
"KushalP","Clojure","75"
"monoid","Clojure","110"
"ljos","Clojure","82"
"joergwin","Clojure","12"
"vedang","Clojure","27"
"rothfield","Clojure","58"
"ztellman","Clojure","669"
"Bronsa","Clojure","696"
"m0smith","Clojure","72"
"TakaGoto","Clojure","54"
"MichaelDrogalis","Clojure","534"
"AustinRochford","Clojure","43"
"rebcabin","Clojure","304"
"loomis","Clojure","158"
"si14","Clojure","141"
"danielsz","Clojure","14"
"kjw","Clojure","274"
"shakedown","Clojure","107"
"weissjeffm","Clojure","562"
"dennisroberts71","Clojure","617"
"sebhoss","Clojure","78"
"dpapathanasiou","Clojure","22"
"magomimmo","Clojure","953"
"dhodges","Clojure","28"
"jamii","Clojure","213"
"ronhuafeng","Clojure","27"
"stevenreyn","Clojure","33"
"lyanchaolee","Clojure","19"
"prismofeverything","Clojure","492"
"rkneufeld","Clojure","557"
"mcohen01","Clojure","142"
"cndreisbach","Clojure","403"
"jclaggett","Clojure","26"
"cgmartin","Clojure","104"
"sorenmacbeth","Clojure","115"
"pnf","Clojure","53"
"drsnyder","Clojure","246"
"jkrueger","Clojure","56"
"myguidingstar","Clojure","259"
"techwhizbang","Clojure","113"
"haus","Clojure","24"
"boutros","Clojure","153"
"antonitio","Clojure","208"
"xsc","Clojure","388"
"Shnick","Clojure","50"
"julianespinel","Clojure","15"
"tbl3rd","Clojure","51"
"trptcolin","Clojure","129"
"mathias","Clojure","30"
"olauzon","Clojure","16"
"Tsarpf","Clojure","16"
"samsalon","Clojure","11"
"esaaksvu","Clojure","12"
"mgaare","Clojure","39"
"fredericksgary","Clojure","204"
"jeluard","Clojure","100"
"tsclausing","Clojure","29"
"icohen","Clojure","52"
"antonlogvinenko","Clojure","636"
"codyrioux","Clojure","83"
"technomancy","Clojure","402"
"jesseimm","Clojure","12"
"flyingmachine","Clojure","290"
"JacekLach","Clojure","61"
"narkisr","Clojure","469"
"philipsdoctor","Clojure","17"
"llnek","Clojure","253"
"lnostdal","Clojure","194"
"prashanthtr","Clojure","42"
"ekoontz","Clojure","491"
"joshuarh","Clojure","15"
"jcrossley3","Clojure","287"
"tsholmes","Clojure","23"
"pjstadig","Clojure","380"
"jafingerhut","Clojure","344"
"AlexBaranosky","Clojure","415"
"ReinoutStevens","Clojure","13"
"pat-thomas","Clojure","146"
"Engelberg","Clojure","249"
"boxp","Clojure","90"
"mk12","Clojure","42"
"MoyTW","Clojure","32"
"marcoy","Clojure","23"
"dgtized","Clojure","36"
"jumski","Clojure","109"
"robashton","Clojure","227"
"Valtis","Clojure","12"
"TN1ck","Clojure","44"
"ichinaski","Clojure","16"
"hamnis","Clojure","19"
"algernon","Clojure","185"
"ptaoussanis","Clojure","1030"
"djui","Clojure","176"
"Sasku","Clojure","13"
"Julppu","Clojure","14"
"vanonselenp","Clojure","17"
"tpatja","Clojure","18"
"fdiotalevi","Clojure","111"
"michaelklishin","Clojure","638"
"badjer","Clojure","89"
"Apophenia","Clojure","14"
"kbarber","Clojure","439"
"tedgin","Clojure","146"
"ckirkendall","Clojure","143"
"andrewmcveigh","Clojure","172"
"johnworth","Clojure","787"
"wiseman","Clojure","19"
"Greduan","Clojure","10"
"senior","Clojure","49"
"phillord","Clojure","193"
"danstone","Clojure","25"
"abrooks","Clojure","13"
"niyue","Clojure","28"
"moquist","Clojure","46"
"kevinbuch","Clojure","38"
"jennifersmith","Clojure","75"
"daveliepmann","Clojure","20"
"decached","Clojure","13"
"smee","Clojure","48"
"hanakpet","Clojure","19"
"dkinzer","Clojure","38"
"DavyLin","Clojure","47"
"yogthos","Clojure","1129"
"manuelp","Clojure","86"
"foolano","Clojure","10"
