"actor","repository_language","pushes"
"pchaigno","Prolog","21"
"Gab1000000000","Prolog","18"
"kulve","Prolog","32"
"wouterbeek","Prolog","617"
"Virtex7","Prolog","18"
"pmdartus","Prolog","29"
"Morpog","Prolog","19"
"lponton","Prolog","27"
"jdugue","Prolog","24"
"lbillon","Prolog","23"
"seedy","Prolog","20"
"sledges","Prolog","34"
"Anool","Prolog","21"
"jmcomets","Prolog","58"
"fred-wang","Prolog","59"
"axelri","Prolog","12"
"ameisner","Prolog","120"
"mcous","Prolog","91"
"jgruselius","Prolog","86"
"Nukesor","Prolog","18"
"marvins","Prolog","91"
"tilltheis","Prolog","16"
"MorleyDev","Prolog","45"
"slapin","Prolog","72"
"keflavich","Prolog","70"
"stmudie","Prolog","25"
"smarttowel","Prolog","15"
"ajutscaria","Prolog","78"
"David-Estevez","Prolog","59"
"charleshull6","Prolog","55"
"yonatansito","Prolog","40"
"mgalloy","Prolog","212"
"vlstill","Prolog","28"
"TopherMan","Prolog","93"
"bkkcoins","Prolog","31"
"oldcoolman","Prolog","26"
"Darkhogg","Prolog","26"
"madworm","Prolog","362"
"ChrisMH","Prolog","74"
"hsameshima","Prolog","41"
"clothbot","Prolog","40"
"mndrix","Prolog","136"
"ethanharstad","Prolog","57"
"recurse","Prolog","20"
"iugonet","Prolog","189"
"nanofury","Prolog","18"
"semenovf","Prolog","80"
"cypreess","Prolog","18"
"joeferner","Prolog","62"
"komar007","Prolog","34"
"cmungall","Prolog","163"
"mengqiu","Prolog","14"
"jpolitz","Prolog","28"
"ipfire","Prolog","312"
"sebgod","Prolog","136"
"mariusei","Prolog","81"
"FrauBluher","Prolog","31"
"eoincarley","Prolog","22"
"nkurinsky","Prolog","134"
"kimchouard","Prolog","25"
"pasdesignal","Prolog","34"
"toonn","Prolog","14"
"meschbach","Prolog","10"
"callumenator","Prolog","132"
"druga","Prolog","44"
"voter101","Prolog","56"
"tkozik","Prolog","14"
"noahp","Prolog","177"
"CharlesRandles","Prolog","34"
"YichaoLi","Prolog","27"
"konradrodzik","Prolog","37"
"marcinkiewiczblazej","Prolog","14"
"ayufan","Prolog","12"
"UmbraDei","Prolog","14"
"guanix","Prolog","38"
"arg0","Prolog","15"
"edisonm","Prolog","77"
"rsennrich","Prolog","93"
"asymptotic","Prolog","34"
"xorrbit","Prolog","18"
"susana1710","Prolog","12"
"Kaljurand","Prolog","32"
"agiuliano","Prolog","17"
"anapaulavnoronha","Prolog","10"
"gbathree","Prolog","27"
"pjlamb12","Prolog","17"
"ekloiber","Prolog","18"
"knowrob","Prolog","18"
"cazzo","Prolog","49"
"xknight","Prolog","111"
"mmazur","Prolog","21"
"B3J4y","Prolog","17"
"scottphiliplerner","Prolog","20"
"BASM","Prolog","34"
"richardmg","Prolog","27"
"mike1072","Prolog","11"
"aringlis","Prolog","43"
"rhysjones","Prolog","53"
"peschuster","Prolog","10"
"oblalex","Prolog","31"
"the-dark-angel","Prolog","28"
"akleroy","Prolog","18"
"fsouza","Prolog","12"
"Elasticboy","Prolog","14"
"swuecho","Prolog","11"
"borisov-r","Prolog","14"
"willettk","Prolog","107"
"acourt","Prolog","72"
"apgoetz","Prolog","10"
"gustavderdrache","Prolog","46"
"spapillon","Prolog","19"
"TheTesla","Prolog","31"
"andreasbaumann","Prolog","57"
"PascalSteger","Prolog","25"
"dmand","Prolog","43"
"iStivi","Prolog","43"
"kmoore134","Prolog","17"
"zhenjl","Prolog","22"
"MagicalTux","Prolog","24"
"hvfrancesco","Prolog","27"
"JEB12345","Prolog","63"
"sdellatorre","Prolog","33"
"adlasa","Prolog","17"
"Noah1989","Prolog","88"
"AndreaBorghesi","Prolog","31"
"pssncp142","Prolog","11"
"spikeh","Prolog","22"
"CYB3Rhuman","Prolog","23"
"jddurand","Prolog","90"
"AdamGleave","Prolog","10"
"PabloIAS","Prolog","26"
"eheien","Prolog","11"
"markbradley27","Prolog","12"
"jotaemesousa","Prolog","29"
"ysz","Prolog","25"
"beanpole135","Prolog","174"
"penguineer","Prolog","33"
"timburgess","Prolog","50"
"rasvaan","Prolog","16"
"jusa","Prolog","23"
"fiedukow","Prolog","20"
"jegpeek","Prolog","10"
"larsyencken","Prolog","93"
"kms15","Prolog","16"
"onyxfish","Prolog","27"
"pmoura","Prolog","19"
"felipesanches","Prolog","38"
"raphaelmeyer","Prolog","52"
"Anniepoo","Prolog","109"
"mathsaey","Prolog","31"
"pbrier","Prolog","10"
"antivapor","Prolog","10"
"gothren","Prolog","29"
"PhilGrayson","Prolog","28"
"daniw","Prolog","12"
"Ltreaper","Prolog","118"
"mathius","Prolog","18"
"Elkar","Prolog","18"
"richardtoller","Prolog","38"
"TimB-QNA","Prolog","11"
"DePierre","Prolog","41"
"jvoisin","Prolog","41"
"Tiller","Prolog","17"
"carlosgs","Prolog","46"
"gjorban","Prolog","38"
"rla","Prolog","22"
"ahungry","Prolog","12"
"andresv","Prolog","20"
"KennedyResearch","Prolog","21"
"vmiklos","Prolog","61"
"reprappro","Prolog","18"
"jbuchbinder","Prolog","18"
"mathieudbk","Prolog","26"
"wpwrak","Prolog","34"
"knielsen","Prolog","13"
"mslatour","Prolog","10"
"rlaemmel","Prolog","31"
"nyrl","Prolog","10"
"DeuceEFI","Prolog","26"
"hedrickbt","Prolog","18"
"ljos","Prolog","19"
"TurpIF","Prolog","61"
"Mogier","Prolog","42"
"narango","Prolog","11"
"MishkaRogachev","Prolog","19"
"astrocaribe","Prolog","23"
"igravity","Prolog","17"
"tac2155","Prolog","30"
"rburchell","Prolog","44"
"hairymnstr","Prolog","12"
"krzysztofr","Prolog","14"
"mescam","Prolog","14"
"azvoleff","Prolog","60"
"zork3","Prolog","17"
"rcuhljr","Prolog","10"
"bnahill","Prolog","68"
"dmbarbour","Prolog","22"
"vivalivezhang","Prolog","20"
"ossicode","Prolog","38"
"LeSpocky","Prolog","13"
"avishorp","Prolog","13"
"VictorThompson","Prolog","52"
"ronaflx","Prolog","13"
"FedyuninV","Prolog","17"
"thewizzy","Prolog","10"
"dsbrooks","Prolog","27"
"ivanvladimir","Prolog","11"
"ziyangli","Prolog","45"
"joaofabricio","Prolog","12"
"xslr","Prolog","21"
"ericponce","Prolog","15"
"nathanpc","Prolog","11"
"mpereira","Prolog","24"
"fasquelito","Prolog","11"
"kkozarev","Prolog","27"
"bukulin","Prolog","17"
"snowpardx","Prolog","19"
"saukko","Prolog","13"
"low-sky","Prolog","12"
"ology","Prolog","53"
"varguitas","Prolog","12"
"carlos-jenkins","Prolog","15"
"sebschub","Prolog","10"
"gdobler","Prolog","34"
