"actor","repository_language","pushes"
"daltoniam","Objective-C","315"
"dsmiff","Objective-C","21"
"wmfgerrit","Objective-C","60"
"bjornorri","Objective-C","20"
"douzifly","Objective-C","61"
"StefanLage","Objective-C","21"
"iiiyu","Objective-C","94"
"omelyanchikd","Objective-C","16"
"snooc","Objective-C","30"
"ChrisGrant","Objective-C","233"
"nickskull","Objective-C","58"
"nark","Objective-C","56"
"gamugamu","Objective-C","84"
"ManIkWeet","Objective-C","50"
"kylefrost","Objective-C","39"
"VilemKurz","Objective-C","274"
"kean","Objective-C","167"
"larsxschneider","Objective-C","33"
"adamzaninovich","Objective-C","32"
"rhzuffo","Objective-C","32"
"cwandrews","Objective-C","26"
"lucasmedeirosleite","Objective-C","143"
"jonalter","Objective-C","59"
"vitaluha","Objective-C","318"
"d4s","Objective-C","50"
"Elmundo","Objective-C","29"
"audreyt","Objective-C","159"
"chiahsien","Objective-C","30"
"killuac","Objective-C","46"
"jarsen","Objective-C","32"
"tonyd256","Objective-C","76"
"Matsbs","Objective-C","22"
"jsh1","Objective-C","34"
"devinharvey","Objective-C","15"
"jugglerjer","Objective-C","60"
"eduardosasso","Objective-C","27"
"Kexoth","Objective-C","98"
"andrewkelley","Objective-C","13"
"giladgo","Objective-C","91"
"giang271291","Objective-C","47"
"fulldecent","Objective-C","30"
"larskuhnt","Objective-C","10"
"henkvanderspek","Objective-C","14"
"araog","Objective-C","69"
"stefanceriu","Objective-C","134"
"jdberry","Objective-C","50"
"coneybeare","Objective-C","159"
"aijianmei","Objective-C","120"
"emsquared","Objective-C","590"
"polybassa","Objective-C","23"
"TClemens","Objective-C","10"
"vicentebalderas","Objective-C","21"
"cmdaltent","Objective-C","79"
"mdoleh","Objective-C","40"
"a-rukin","Objective-C","10"
"dblapps","Objective-C","63"
"HildePedroni","Objective-C","26"
"rrbrambley","Objective-C","41"
"jspahrsummers","Objective-C","1147"
"ipatch","Objective-C","88"
"rtsuk","Objective-C","37"
