"actor","repository_language","pushes"
"igor04","Ruby","44"
"HugoGiraudel","Ruby","110"
"lvchengfei","Ruby","12"
"peterberkenbosch","Ruby","278"
"kou","Ruby","1555"
"takanashi66","Ruby","18"
"comptasso","Ruby","111"
"vladislav-zubov","Ruby","106"
"jibai31","Ruby","45"
"bf4","Ruby","1324"
"randyschneck","Ruby","47"
"chamnap","Ruby","195"
"rilian","Ruby","444"
"gdemir","Ruby","97"
"Lightsword1942","Ruby","42"
"Martin91","Ruby","84"
"swizzlr","Ruby","60"
"bernardogfilho","Ruby","90"
"theguice","Ruby","11"
"lingbosky","Ruby","14"
"ZirconCode","Ruby","32"
"ozelen","Ruby","255"
"roughy","Ruby","34"
"mttkay","Ruby","17"
"galfert","Ruby","74"
"rhoml","Ruby","53"
"marjinal1st","Ruby","122"
"SamSamskies","Ruby","296"
"brandonhilkert","Ruby","335"
"maxcal","Ruby","16"
"BirgerK","Ruby","22"
"unhappychoice","Ruby","25"
"mikaelharsjo","Ruby","99"
"labotsky","Ruby","65"
"petrachi","Ruby","193"
"davidpots","Ruby","451"
"rsslldnphy","Ruby","623"
"conacelelena","Ruby","62"
"zakuni","Ruby","231"
"alexdantas","Ruby","29"
"alexandru-paduraru","Ruby","82"
"PeterBengtson","Ruby","939"
"Silox","Ruby","94"
"tricknotes","Ruby","324"
"nozawatomonobu","Ruby","19"
"ToJans","Ruby","49"
"AlexanderEkdahl","Ruby","127"
"vortex7","Ruby","57"
"sergio1990","Ruby","57"
"jzajpt","Ruby","89"
"conroywhitney","Ruby","128"
"shaydesdsgn","Ruby","16"
"CloCkWeRX","Ruby","57"
"pipwilson","Ruby","20"
"RickP","Ruby","14"
"feipyang","Ruby","41"
"emachnic","Ruby","79"
"johnmuhl","Ruby","91"
"monkstone","Ruby","501"
"sefier","Ruby","20"
"aackerman","Ruby","72"
"FrauBienenstich","Ruby","37"
"shterrett","Ruby","121"
"oliyoung","Ruby","118"
"pjf","Ruby","56"
"spape","Ruby","332"
"robotzhang","Ruby","544"
"JRice","Ruby","403"
"zunda","Ruby","5002"
"joahking","Ruby","38"
"tkendalls","Ruby","248"
"baleboy","Ruby","33"
"somecallmejosh","Ruby","22"
"amcewen","Ruby","21"
"sdaubert","Ruby","30"
"ninjaofawesome","Ruby","27"
"rockwood","Ruby","54"
"akash","Ruby","188"
"kasperhirvikoski","Ruby","64"
"samphippen","Ruby","292"
"jasnow","Ruby","1089"
"stijlist","Ruby","12"
"gongo","Ruby","81"
"acassaigne","Ruby","26"
"satish-zol","Ruby","100"
"russ1985","Ruby","28"
"oliverklee","Ruby","32"
"plotter","Ruby","48"
"olivergondza","Ruby","154"
"chelseakomlo","Ruby","290"
"fteem","Ruby","77"
"villez","Ruby","65"
"aliismayilov","Ruby","100"
"ericmichael","Ruby","29"
"Wendigooor","Ruby","41"
"icecoldmax","Ruby","60"
"cthiel","Ruby","55"
"th0x4c","Ruby","22"
"VladimirTS","Ruby","20"
"jinwanlin","Ruby","11"
"kbasye","Ruby","134"
"rubys","Ruby","371"
"ianreah","Ruby","47"
"like310101","Ruby","12"
"prife","Ruby","20"
"dwillis","Ruby","271"
"elia","Ruby","302"
"AndreiBunea","Ruby","116"
"staugaard","Ruby","103"
"fijimunkii","Ruby","188"
"doublerr","Ruby","243"
"briancain","Ruby","149"
"katepdonahue","Ruby","57"
"angelbotto","Ruby","24"
"akshatpradhan","Ruby","38"
"callen6","Ruby","236"
"endymion","Ruby","17"
"jawerty","Ruby","37"
"persamina","Ruby","58"
"kablamo","Ruby","16"
"almir-sne","Ruby","106"
"jrobertson","Ruby","502"
"orta","Ruby","890"
"made2503","Ruby","148"
"scotthelm","Ruby","59"
"lperichon","Ruby","208"
"moinvirani","Ruby","123"
"broguinn","Ruby","87"
"salomon","Ruby","21"
"adamwalz","Ruby","80"
"reset","Ruby","1310"
"bassettsj","Ruby","124"
"MatthewStephens","Ruby","34"
