"actor","repository_language","pushes"
"SergeyZh","Java","5180"
"finnhakansson","Java","58"
"fredericBregier","Java","554"
"karianna","Java","122"
"guochy2012","Java","12"
"serious198706","Java","74"
"CeIa","Java","65"
"wanbin","Java","170"
"senleft","Java","102"
"asfgit","Java","58510"
"sbktc","Java","107"
"xuesong123","Java","53"
"fredrikattebrant","Java","17"
"jburel","Java","651"
"rubendel","Java","147"
"nishizawa23","Java","15"
"iofirag","Java","16"
"andrewleo","Java","113"
"FunkeyFlo","Java","80"
"vovarova","Java","28"
"olivergierke","Java","845"
"kevin-ww","Java","14"
"alesj","Java","1004"
"hudakl","Java","27"
"LaurentFerier","Java","199"
"opencm","Java","1563"
"dohnto","Java","228"
"MatthiasDillen","Java","32"
"lukaseder","Java","785"
"CrossLee","Java","291"
"kkarolk","Java","546"
"Thundernator","Java","21"
"carlwilson","Java","154"
"ramkrish86","Java","117"
"jacksonicson","Java","277"
"bleskes","Java","283"
"sthor69","Java","69"
"Naphtha","Java","12"
"kailip","Java","68"
"wenhao","Java","98"
"wangsy","Java","47"
"leonvantuyl","Java","16"
"nashals","Java","27"
"serso","Java","663"
"sanqianyuejia","Java","21"
"GerritK","Java","284"
"elliott-wen","Java","26"
"trprebel","Java","55"
"gerrit-ovirt-org","Java","5193"
"laa","Java","347"
"karinsofia","Java","51"
"kratochj","Java","19"
"sbadakhc","Java","121"
"mstahv","Java","69"
"Vercryger","Java","212"
"hazemhagrass","Java","14"
"ralscha","Java","479"
"luong-minh-mulodo","Java","136"
"sebasguillen","Java","18"
"trustin","Java","985"
"wilkinsona","Java","365"
"jim618","Java","312"
"richardwilly98","Java","211"
"mariofusco","Java","928"
"RosesTheN00b","Java","54"
"RBernhardt","Java","50"
"atangsutisna","Java","51"
"shoma2da","Java","325"
"maniac103","Java","124"
"tungvx","Java","33"
"marcplouhinec","Java","136"
"brunovt","Java","61"
"alediator","Java","27"
"leoliang","Java","147"
"renyulong-art-d-com-cn","Java","97"
"skodape","Java","404"
"haint","Java","149"
"JeremyWildsmith","Java","40"
"bajtos","Java","114"
"HaraldGustafsson","Java","76"
"ataulm","Java","101"
"pedrofvteixeira","Java","85"
"jstrachan","Java","465"
"danberindei","Java","4602"
"Chilinot","Java","311"
"philipphock","Java","204"
"m4mbr3","Java","40"
"dmichelotto","Java","155"
"jhaoniu","Java","613"
"yanshuai","Java","34"
"oskopek","Java","146"
"jmzc","Java","88"
"xiaozhujun","Java","67"
"raeffu","Java","59"
"phsh","Java","78"
"johnjohndoe","Java","31"
"rkrell","Java","51"
"mtwestra","Java","244"
"qhkyzf","Java","25"
"pruivo","Java","556"
"Tripod2K","Java","11"
"godongsori","Java","19"
"Martikus17","Java","223"
"dkayiwa","Java","505"
"OresytO","Java","25"
"mokeeopensource","Java","1651"
"uhafner","Java","321"
"jonathansenior","Java","219"
"zavidovych","Java","128"
"purplefox","Java","741"
"okAndrew","Java","67"
"bozzzzo","Java","24"
"lloydwatkin","Java","484"
"RicardoUsbeck","Java","94"
"alexberesnev","Java","2179"
"tux2323","Java","99"
"napodan","Java","222"
"wangzhdz","Java","68"
"phuongdt","Java","116"
"mdesanti","Java","101"
"msimonin","Java","210"
"maanba","Java","107"
"FroMage","Java","678"
"nuxeojenkins","Java","3324"
"fgdrf","Java","208"
"nomanman","Java","54"
"egonw","Java","547"
"stuartwdouglas","Java","1325"
"HuberyChen","Java","54"
"dsyer","Java","499"
"uboness","Java","148"
"gipi","Java","31"
"frido37","Java","37"
"IPL","Java","12"
"momoplan","Java","1958"
"luksprog","Java","48"
"carlos99","Java","31"
"matethurzo","Java","621"
"aspan","Java","337"
"johnnyeven","Java","98"
"dvalvezon","Java","93"
"katzan","Java","29"
"ShakeJ","Java","50"
"adamarla","Java","58"
"eschabell","Java","244"
"tbandixen","Java","27"
"olofhagsand","Java","35"
"luigiselmi","Java","109"
"Nikash","Java","67"
"Shogo-H","Java","17"
"mdevlamynck","Java","44"
"marpet","Java","553"
"Boonstra","Java","142"
"EnquiringStone","Java","54"
"sanchezpaus","Java","18"
"shruthidipali","Java","123"
"cleverliz","Java","159"
"lorenzo-pagliari","Java","54"
"colitman","Java","160"
"csobrinho","Java","39"
"dangokuson","Java","97"
"j3gb3rt","Java","19"
"prembhaskal","Java","220"
"svenmeier","Java","103"
"eric-wu","Java","603"
"mirror-updates","Java","34967"
"olkooo","Java","58"
"duybkict","Java","66"
"shabanovd","Java","377"
"jclehner","Java","119"
"rajithsiriwardana","Java","197"
"songtong","Java","113"
"thanhhuy89vn","Java","25"
"Synature-Jitthapong","Java","283"
"WojtylaCZ","Java","43"
"phax","Java","180"
"pablopareja","Java","180"
"Fisjkars","Java","146"
"gnudeep","Java","4228"
"dongpd","Java","313"
"chinh7","Java","12"
"dcoraboeuf","Java","966"
"ened","Java","65"
"madhur","Java","42"
"witwolf","Java","374"
"shaneagibson","Java","167"
"lucvik","Java","52"
"cly753","Java","70"
"sasinda","Java","48"
"stijnnoot","Java","65"
"chenwei767","Java","98"
"chenchun","Java","139"
"mariuszc615","Java","61"
"mcvaro","Java","19"
"kenshin579","Java","128"
"olivergondza","Java","318"
"iliapolo","Java","569"
"tOgg1","Java","108"
"Adubbz","Java","694"
"illarionov","Java","208"
"julie-sullivan","Java","126"
"hhagmans","Java","53"
"stevenRush","Java","130"
"havtt","Java","67"
"dolfdijkstra","Java","24"
"surendar-r","Java","380"
"nguyentruonggiang","Java","55"
"cpuy","Java","151"
"lambder","Java","84"
"lajthabalazs","Java","92"
"andrekor","Java","18"
"mirco89","Java","156"
"lownslow200sx","Java","194"
"AlbinTheander","Java","14"
"timduru","Java","65"
"khdb","Java","18"
"ermedeiros","Java","68"
"sgratzl","Java","279"
"EirikV","Java","67"
"tolis-e","Java","372"
"luklanis","Java","122"
"kristianhunt","Java","33"
"gavincook","Java","28"
"xiangyu85","Java","102"
"fatschi","Java","158"
"Laetitia28","Java","26"
"aprilsky","Java","14"
"bsideup","Java","44"
"palotas","Java","59"
"mprins","Java","155"
"jmesnil","Java","302"
"HiddenFox","Java","25"
