"actor","repository_language","pushes"
"ezh","Scala","401"
"prassee","Scala","88"
"AKST","Scala","15"
"Pyppe","Scala","66"
"nikita-volkov","Scala","65"
"fwbrasil","Scala","415"
"graeme-lockley","Scala","26"
"3amice","Scala","21"
"SethTisue","Scala","911"
"reggert","Scala","64"
"anvie","Scala","256"
"daveweber","Scala","19"
"pdalpra","Scala","737"
"takezoe","Scala","614"
"meekrabR6R","Scala","10"
"letusfly85","Scala","266"
"garethleonard","Scala","15"
"newca12","Scala","279"
"frugs","Scala","43"
"thescouser89","Scala","19"
"nrinaudo","Scala","124"
"felixmulder","Scala","28"
"ishmal","Scala","120"
"xmanu","Scala","31"
"commonlisp","Scala","15"
"sirthias","Scala","605"
"Ant01n3","Scala","104"
"tmiw","Scala","219"
"slandelle","Scala","1124"
"regb","Scala","116"
"xupeixiang","Scala","39"
"skyluc","Scala","206"
"VladUreche","Scala","336"
"haghard","Scala","20"
"softprops","Scala","641"
"galderz","Scala","234"
"Zwergal","Scala","10"
"andreaTP","Scala","18"
"mattrjacobs","Scala","62"
"lordd","Scala","100"
"Narigo","Scala","131"
"jcgay","Scala","25"
"retronym","Scala","1161"
"alpicola","Scala","19"
"tanitta","Scala","39"
"vjousse","Scala","39"
"ankurdave","Scala","46"
"Akhilesh05","Scala","194"
"jcanny","Scala","781"
"studiodev","Scala","52"
"mcandre","Scala","55"
"rossabaker","Scala","330"
"taylorjg","Scala","60"
"msfrank","Scala","73"
"ppedemon","Scala","77"
"alvaroc1","Scala","74"
"mbcrute","Scala","11"
"LegioXV","Scala","50"
"ZenBowman","Scala","36"
"dylan-databrary","Scala","63"
"ddk128","Scala","126"
"Sergey80","Scala","206"
"achals","Scala","16"
"MoopsLC","Scala","209"
"clange","Scala","169"
"joshrendek","Scala","21"
"ritschwumm","Scala","124"
"arkeus","Scala","43"
"seratch","Scala","778"
"sxend","Scala","58"
"namin","Scala","659"
"hughsimpson","Scala","101"
"daisyzhou","Scala","159"
"squito","Scala","206"
"nightscape","Scala","64"
"lihaoyi","Scala","246"
"pishen","Scala","110"
"mnesarco","Scala","15"
"Explicite","Scala","35"
"xeno-by","Scala","1448"
"ilkka","Scala","26"
"leithaus","Scala","342"
"fehguy","Scala","469"
"shizone","Scala","18"
"oleegholm","Scala","209"
"etorreborre","Scala","1062"
"zavakid","Scala","14"
"davidalk","Scala","38"
"newlandsvalley","Scala","35"
"Jascha-N","Scala","54"
"benwing","Scala","76"
"kknd22","Scala","21"
"unclealex72","Scala","38"
"ornicar","Scala","888"
"mzimecki","Scala","58"
"fthomas","Scala","355"
"creasyw","Scala","155"
"Reefstah","Scala","13"
"sebnozzi","Scala","27"
"pir-dsl","Scala","245"
"asfgit","Scala","576"
"sstone","Scala","44"
"jasonmar","Scala","10"
"chris-wood","Scala","35"
"manojo","Scala","74"
"msteindorfer","Scala","24"
"davidmoten","Scala","385"
"juanjdlt","Scala","10"
"mkroli","Scala","27"
"ueshin","Scala","980"
"mauricio","Scala","183"
"afronski","Scala","44"
"johnynek","Scala","586"
"jcoveney","Scala","58"
"mlaflamm","Scala","390"
"dolio","Scala","13"
"havocp","Scala","116"
"jegonzal","Scala","141"
"rxin","Scala","442"
"ale-f","Scala","61"
"amirsh","Scala","183"
"danburkert","Scala","32"
"adriaanm","Scala","1025"
"leleuj","Scala","12"
"mrVanDalo","Scala","62"
"swaldman","Scala","36"
"leon","Scala","26"
"EAPierzchalski","Scala","102"
"tumashu","Scala","14"
"EECOLOR","Scala","144"
"maxmouchet","Scala","55"
"alextp","Scala","362"
"alanvdam","Scala","156"
"fabura","Scala","20"
"patriknw","Scala","621"
"constantingerstberger","Scala","19"
"adamretter","Scala","99"
"miong","Scala","25"
"mathieuancelin","Scala","235"
"jmhofer","Scala","49"
"larsrh","Scala","583"
"AntonIvanov87","Scala","76"
"milessabin","Scala","160"
"mouserd","Scala","49"
"denissezavala","Scala","19"
"mikesname","Scala","699"
"mtgto","Scala","74"
"dst","Scala","12"
"zvozin","Scala","14"
"sksamuel","Scala","1420"
"dscharf","Scala","18"
"rachel-lau","Scala","58"
"dhgarrette","Scala","284"
"majtom2grndctrl","Scala","27"
"etellman","Scala","183"
"bryanjos","Scala","42"
"Markko","Scala","18"
"jroper","Scala","609"
"cdmuhlb","Scala","31"
"notyy","Scala","31"
"paulp","Scala","665"
"iref","Scala","53"
"ccocchi","Scala","10"
"lossyrob","Scala","271"
"xuwei-k","Scala","675"
"kudoh","Scala","46"
"TerranceN","Scala","19"
"immediatus","Scala","20"
"Tok","Scala","75"
"davidsoergel","Scala","82"
"tengstrand","Scala","80"
"cage433","Scala","155"
"eed3si9n","Scala","344"
"TiarkRompf","Scala","646"
"lemonxah","Scala","67"
"n8han","Scala","229"
"ramn","Scala","29"
"alkersan","Scala","19"
"fooblahblah","Scala","62"
"kaisellgren","Scala","13"
"ephe-meral","Scala","51"
"jto","Scala","186"
"sazzer","Scala","41"
"pchapin","Scala","213"
"HairyFotr","Scala","239"
"biffbyrd","Scala","110"
"cohimame","Scala","71"
"travisbrown","Scala","66"
"dbercht","Scala","15"
"tarciosaraiva","Scala","47"
"jezzalaycock","Scala","40"
"privateblue","Scala","35"
"matthewfarwell","Scala","208"
"pdorobisz","Scala","20"
"kman007us","Scala","73"
"jroesch","Scala","21"
"sr-reportsoft","Scala","90"
"huntc","Scala","451"
"pwendell","Scala","401"
"nremond","Scala","227"
"harrah","Scala","300"
"a-ono","Scala","63"
"zoetrope","Scala","81"
"carlpulley","Scala","79"
"maxaf","Scala","136"
"alexanderdean","Scala","1081"
"mandubian","Scala","220"
"ochafik","Scala","472"
"wemrysi","Scala","10"
"fupelaqu","Scala","35"
"sdt","Scala","12"
"gitlevich","Scala","30"
"c9r","Scala","102"
"debasishg","Scala","106"
"takezoux2","Scala","134"
"efuquen","Scala","101"
"andrewnguyen","Scala","10"
"Crockeo","Scala","40"
"markkolich","Scala","162"
"capotej","Scala","90"
"hunterhector","Scala","43"
"tommycli","Scala","93"
"pocorall","Scala","347"
"chrisphelps","Scala","101"
"MachineMuse","Scala","55"
"TheBizzle","Scala","523"
"dtinblack","Scala","12"
"wookoouk","Scala","33"
"huitseeker","Scala","411"
"tflander","Scala","96"
"axel22","Scala","121"
"Ayoub-Benali","Scala","61"
"aginiewicz","Scala","35"
"fanf","Scala","427"
"krasserm","Scala","340"
"Alefas","Scala","333"
"VinceMacBuche","Scala","630"
"timbru","Scala","26"
"TeaBough","Scala","15"
"yanns","Scala","84"
"bmjames","Scala","183"
"ajhager","Scala","94"
"rguderlei","Scala","15"
"kristiankime","Scala","62"
"denisrosca","Scala","11"
"eparejatobes","Scala","155"
"marklister","Scala","97"
"malliina","Scala","128"
"rsimon","Scala","304"
"edgarchan","Scala","34"
"jhaberstro","Scala","102"
"dotta","Scala","665"
