"actor","repository_language","pushes"
"monochromegane","C","12"
"gnomesysadmins","C","9516"
"mwarning","C","333"
"cm-gerrit","C","10097"
"TheDesertMonk","C","25"
"nmarshak1337","C","363"
"Sibras","C","162"
"ajholanda","C","483"
"pijyoi","C","46"
"cemuzunlar","C","26"
"evfool","C","75"
"VFR-maniac","C","636"
"khandharjay","C","64"
"jracoma","C","347"
"pevargas","C","61"
"JEB12345","C","13"
"BLesnau","C","104"
"jaypoulz","C","22"
"fogleman","C","146"
"yoruk","C","13"
"Sorinara","C","108"
"so0p3rcer3al","C","15"
"RavuAlHemio","C","18"
"nuclearmistake","C","320"
"JohnYangSam","C","67"
"craig5008","C","75"
"mani-monaj","C","22"
"cuber268","C","60"
"inganesa","C","25"
"sleshepic","C","39"
"amery","C","663"
"dedesite","C","16"
"jsonn","C","1970"
"MiJyn","C","69"
"mikeowens","C","46"
"jbowens","C","60"
"tallerthenyou","C","30"
"notwa","C","11"
"nicolas17","C","40"
"ISTweak","C","167"
"h8rift","C","87"
"burstlam","C","339"
"cf-frameworks","C","1064"
"tfoote","C","20"
"wg","C","39"
"thdDude","C","141"
"raxptor","C","102"
"cooljeanius","C","414"
"jdolan","C","311"
"coydog","C","18"
"pexcn","C","39"
"AbePralle","C","111"
"leap-code-o-matic","C","38"
"s-u","C","105"
"chenminglei","C","36"
"DeltaResero","C","1296"
"TheBuzzSaw","C","12"
"sballesteros","C","497"
"acannon828","C","15"
"dct2012","C","209"
"vasi","C","18"
"markjdb","C","981"
"zhangkari","C","12"
"xuefei2062","C","11"
"j3ffhubb","C","1480"
"djintrigue808","C","883"
"mingwandroid","C","92"
"cthulhuology","C","11"
"AskDrCatcher","C","67"
"thehacka1","C","24"
"wolfgar","C","53"
"lidise7en","C","27"
"itsmikeramsay","C","224"
"wuhao1117","C","98"
"hurley25","C","134"
"bietje","C","31"
"brettbyer","C","10"
"LaylConway","C","270"
"aji","C","289"
"yanatan16","C","16"
"rkophs","C","58"
"DeadDingo","C","45"
"Scorpio92","C","35"
"spurious","C","1090"
"Alberto97","C","328"
"herrnst","C","1494"
"irungentoo","C","686"
"asfgit","C","6734"
"scanlime","C","171"
"jakeleichtling","C","437"
"ntamas","C","71"
"dpandiar","C","164"
"FrauBluher","C","34"
"Zi0P4tch0","C","14"
"ffilz","C","283"
"niden","C","196"
"heliocentric","C","208"
"OnlyInAmerica","C","21"
"kagu","C","251"
"pigoz","C","485"
"mbcastro","C","25"
"dmontenegro","C","12"
"pcarenza","C","168"
"Chocobozzz","C","33"
"cbuchner1","C","33"
"Wescoeur","C","88"
"acbrewbaker","C","80"
"shanep","C","23"
"lamber","C","21"
"MatthewWGross","C","28"
"mkoppanen","C","535"
"krakjoe","C","1043"
"flxo","C","48"
"azmeuk","C","308"
"msteinert","C","411"
"JohnReid","C","32"
"dereksalama","C","72"
"tadeas482","C","164"
"mathius","C","51"
"githwxi","C","1095"
"bcnjr5","C","531"
"codyf86","C","183"
"CompuCell3D","C","73"
"Zajcev","C","97"
"kowcop-aosp","C","43"
"eworm-de","C","281"
"jgoppert","C","230"
"bisegni","C","106"
"davidgaskins","C","114"
"WhatHub","C","283"
"phoboz","C","248"
"penberg","C","591"
"palmer-dabbelt","C","134"
"johnwarden","C","23"
"mihirvj","C","15"
"vlc-altair","C","295"
"Luminger","C","102"
"ltratt","C","16"
"netcoder1","C","18"
"x42","C","610"
"rodero95","C","271"
"Tryptophan","C","139"
"vito","C","52"
"mwolf76","C","60"
"fluffyfreak","C","141"
"radioneko","C","17"
"matthewtole","C","107"
"glewarne","C","259"
"jameswalmsley","C","186"
"iori-yja","C","16"
"johnoliverdriscoll","C","323"
"ensonic","C","40"
"FreeSWITCH","C","1061"
"kierank","C","229"
"alethia7","C","85"
"jcalvinowens","C","35"
