"actor","repository_language","pushes"
"TheDistractor","CoffeeScript","43"
"cwick","CoffeeScript","111"
"noxan","CoffeeScript","17"
"andromedado","CoffeeScript","67"
"enjalot","CoffeeScript","39"
"kenhkan","CoffeeScript","548"
"Fresheyeball","CoffeeScript","27"
"Derkje-J","CoffeeScript","88"
"rclark","CoffeeScript","83"
"bsivaprasath","CoffeeScript","72"
"cengebretson","CoffeeScript","110"
"csillag","CoffeeScript","293"
"AsaAyers","CoffeeScript","131"
"benjamine","CoffeeScript","36"
"stevenvandervalk","CoffeeScript","102"
"ryanatkn","CoffeeScript","99"
"hleclerc","CoffeeScript","72"
"dyoder","CoffeeScript","120"
"mlocher","CoffeeScript","49"
"BenjBouv","CoffeeScript","20"
"jvilk","CoffeeScript","290"
"es128","CoffeeScript","133"
"iamssen","CoffeeScript","105"
"erhu65","CoffeeScript","542"
"darkoverlordofdata","CoffeeScript","126"
"jcw","CoffeeScript","115"
"EugeneN","CoffeeScript","162"
"freefrancisco","CoffeeScript","11"
"drj11","CoffeeScript","234"
"twobits-cz","CoffeeScript","23"
"bergie","CoffeeScript","855"
"qiushihe","CoffeeScript","20"
"viatropos","CoffeeScript","26"
"robertkeizer","CoffeeScript","87"
"lefnire","CoffeeScript","1236"
"RevCBH","CoffeeScript","115"
"SoapyIllusions","CoffeeScript","156"
"kapadia","CoffeeScript","251"
"vis7mac","CoffeeScript","26"
"jvaill","CoffeeScript","71"
"cdolivares","CoffeeScript","151"
"lzrski","CoffeeScript","92"
"wballard","CoffeeScript","251"
"rjbishop","CoffeeScript","11"
"morgante","CoffeeScript","14"
"colinwren","CoffeeScript","51"
"unel","CoffeeScript","33"
"aaylward","CoffeeScript","155"
"nickavv","CoffeeScript","107"
"pseudomuto","CoffeeScript","10"
"portertech","CoffeeScript","15"
"winton","CoffeeScript","314"
"amdprophet","CoffeeScript","12"
"chall8908","CoffeeScript","11"
"jaredcosulich","CoffeeScript","793"
"wbbradley","CoffeeScript","72"
"jdalphon","CoffeeScript","370"
"kg4lod","CoffeeScript","160"
"druide","CoffeeScript","39"
"marsch","CoffeeScript","36"
"ichord","CoffeeScript","94"
"jmbarbier","CoffeeScript","19"
"samrocksc","CoffeeScript","15"
"danschumann","CoffeeScript","37"
"grncdr","CoffeeScript","105"
"sean-morris","CoffeeScript","211"
"mgutz","CoffeeScript","164"
"sebastianhoitz","CoffeeScript","154"
"jenrzzz","CoffeeScript","11"
"balupton","CoffeeScript","1862"
"dbashford","CoffeeScript","367"
"pashields","CoffeeScript","43"
"ibawt","CoffeeScript","25"
"sumeetjain","CoffeeScript","13"
"thom801","CoffeeScript","17"
"ajf8","CoffeeScript","40"
"halkeye","CoffeeScript","47"
"kevin-buttercoin","CoffeeScript","40"
"geraldarthur","CoffeeScript","86"
"rmosolgo","CoffeeScript","170"
"assaf","CoffeeScript","65"
"nathanb","CoffeeScript","11"
"flipstewart","CoffeeScript","56"
"ehg","CoffeeScript","348"
"appleboy","CoffeeScript","184"
"maxogden","CoffeeScript","11"
"nashibao","CoffeeScript","214"
"matti","CoffeeScript","96"
"tombell","CoffeeScript","696"
"vderyagin","CoffeeScript","10"
"mmuddasir","CoffeeScript","60"
"gouflv","CoffeeScript","19"
"omarkhan","CoffeeScript","10"
"leonistor","CoffeeScript","91"
"ropewalkingelephant","CoffeeScript","48"
"nikezono","CoffeeScript","101"
"zmmbreeze","CoffeeScript","25"
"iambus","CoffeeScript","32"
"meryn","CoffeeScript","241"
"yanzhengli","CoffeeScript","437"
"ejholmes","CoffeeScript","84"
"pghalliday","CoffeeScript","224"
"igoramadas","CoffeeScript","169"
"chirag04","CoffeeScript","11"
"cmalven","CoffeeScript","112"
"hallodom","CoffeeScript","35"
"loicfrering","CoffeeScript","44"
"scothis","CoffeeScript","71"
"boiving","CoffeeScript","133"
"32bitkid","CoffeeScript","14"
"chpill","CoffeeScript","58"
"Incubatio","CoffeeScript","117"
"zarino","CoffeeScript","519"
"hopkinschris","CoffeeScript","24"
"paulmillr","CoffeeScript","832"
"MartinBieth","CoffeeScript","26"
"jakobmattsson","CoffeeScript","187"
"athieriot","CoffeeScript","99"
"yassenb","CoffeeScript","36"
"enyo","CoffeeScript","223"
"fabricekyams","CoffeeScript","10"
"spazmodius","CoffeeScript","17"
"PaulLeCam","CoffeeScript","44"
"alexsuslov","CoffeeScript","52"
"farhatmihalko","CoffeeScript","28"
"benjie","CoffeeScript","71"
"CIDJEY","CoffeeScript","31"
"philjackson","CoffeeScript","582"
"krikis","CoffeeScript","138"
"mor1","CoffeeScript","57"
"UncleBill","CoffeeScript","75"
"fir3pho3nixx","CoffeeScript","59"
"bnadim","CoffeeScript","108"
"vesse","CoffeeScript","47"
"bryevdv","CoffeeScript","431"
"DungFu","CoffeeScript","44"
"chantastic","CoffeeScript","11"
"oliverh855","CoffeeScript","25"
"thejameskyle","CoffeeScript","241"
"zeekay","CoffeeScript","365"
"mcolyer","CoffeeScript","23"
"pyrotechnick","CoffeeScript","319"
"benogle","CoffeeScript","146"
"puchimatto","CoffeeScript","28"
"jagill","CoffeeScript","147"
"eighttrackmind","CoffeeScript","122"
"savagegus","CoffeeScript","10"
"wvanbergen","CoffeeScript","15"
"negativetwelve","CoffeeScript","31"
"stevelacy","CoffeeScript","21"
"acdlite","CoffeeScript","77"
"alexlegg","CoffeeScript","20"
"Valve","CoffeeScript","18"
"pmuellr","CoffeeScript","70"
"hoppenichu","CoffeeScript","13"
"ericwangqing","CoffeeScript","17"
"jraede","CoffeeScript","46"
"franklinkim","CoffeeScript","10"
"grantmd","CoffeeScript","16"
"andreineculau","CoffeeScript","245"
"patocallaghan","CoffeeScript","35"
"japsu","CoffeeScript","167"
"vojtajina","CoffeeScript","80"
"jsmm8mpn","CoffeeScript","80"
"findjashua","CoffeeScript","108"
"ombr","CoffeeScript","21"
"pflannery","CoffeeScript","400"
"raphaelsampaio","CoffeeScript","21"
"nfriedly","CoffeeScript","14"
"hhelwich","CoffeeScript","54"
"sshirokov","CoffeeScript","34"
"gwilymhumphreys","CoffeeScript","21"
"jefff","CoffeeScript","13"
"STRd6","CoffeeScript","2358"
"hasallen","CoffeeScript","13"
"smucode","CoffeeScript","22"
"alexgorbatchev","CoffeeScript","56"
"milewgit","CoffeeScript","16"
"jhchen","CoffeeScript","50"
"eclifford","CoffeeScript","11"
"skoczen","CoffeeScript","78"
"brian-c","CoffeeScript","200"
"Liongold","CoffeeScript","16"
"mghilaci","CoffeeScript","32"
"aj0strow","CoffeeScript","51"
"DerMambo","CoffeeScript","12"
"alexkravets","CoffeeScript","33"
"reedstrm","CoffeeScript","48"
"f-kubotar","CoffeeScript","66"
"etissieres","CoffeeScript","87"
"furagi","CoffeeScript","12"
"YourDeveloperFriend","CoffeeScript","28"
"jaypoulz","CoffeeScript","70"
"NatTuck","CoffeeScript","103"
"wmdmark","CoffeeScript","16"
"jacobmovingfwd","CoffeeScript","71"
"metaskills","CoffeeScript","71"
"justindujardin","CoffeeScript","28"
"revhazroot","CoffeeScript","38"
"konstantindenerz","CoffeeScript","11"
"AlexeyGrishin","CoffeeScript","57"
"borya09","CoffeeScript","37"
"bd","CoffeeScript","21"
"giyyapan","CoffeeScript","54"
"adammulligan","CoffeeScript","496"
"digitarhythm","CoffeeScript","79"
