"actor","repository_language","pushes"
"LightDrake","C++","116"
"C457","C++","290"
"axetota","C++","108"
"waveletus","C++","101"
"rburdet","C++","47"
"greybadger19","C++","13"
"fetzerch","C++","177"
"cemeai","C++","18"
"MrBaNkS","C++","51"
"mitchellwrosen","C++","14"
"rafaelrs","C++","13"
"angel-manuel","C++","163"
"davidok8","C++","159"
"whsieh","C++","36"
"studywolf","C++","22"
"nc61","C++","53"
"adis1313","C++","97"
"btmura","C++","10"
"on3al","C++","30"
"Evestar","C++","32"
"hmmr","C++","218"
"Stijn-Flipper","C++","52"
"amarchen","C++","24"
"kwrobot","C++","8220"
"LLLLKKKK","C++","36"
"proycon","C++","1052"
"qubey","C++","19"
"jonnor","C++","95"
"maximaximal","C++","53"
"alejolp","C++","46"
"h0x91b","C++","91"
"Predelnik","C++","57"
"totothekiller","C++","12"
"rouault","C++","3020"
"ffiadmin","C++","27"
"fernancoder","C++","20"
"dfm","C++","226"
"dannyedel","C++","16"
"zaclimon","C++","71"
"Skaronator","C++","206"
"azoller1","C++","10"
"kestred","C++","380"
"dstockwell","C++","6370"
"jaantti","C++","13"
"jakobkroeker","C++","56"
"chapuni","C++","53732"
"coyotte508","C++","868"
"camb416","C++","169"
"xzjs","C++","17"
"RaiMan","C++","157"
"MattTuttle","C++","56"
"jbush001","C++","276"
"Kevindeving","C++","29"
"Kolyunya","C++","77"
"timowest","C++","202"
"TsudaKageyu","C++","1394"
"glinscott","C++","394"
"akkartik","C++","230"
"daschuer","C++","311"
"bingmann","C++","223"
"Zandriy","C++","22"
"jcslaa","C++","36"
"iauns","C++","619"
"riadix","C++","71"
"konserw","C++","18"
"rmolin88","C++","71"
"AlexMax","C++","593"
"santa01","C++","188"
"atilag","C++","60"
"FooBarWidget","C++","773"
"ddemidov","C++","942"
"hadim","C++","17"
"Albinoman887","C++","275"
"ttalvitie","C++","118"
"Tofee","C++","102"
"peterix","C++","226"
"vovak","C++","11"
"simsong","C++","519"
"lvalerom","C++","16"
"mickelson","C++","64"
"anjos","C++","408"
"stevenve","C++","10"
"RyotaMinami93","C++","163"
"deniscostadsc","C++","59"
"girving","C++","274"
"Emdek","C++","671"
"KyleKolpek","C++","31"
"RongLi1986","C++","16"
"sbooth","C++","119"
"AsherBond","C++","612"
"rescrv","C++","206"
"johnwbyrd","C++","45"
"voodka","C++","18"
"MagpieUA","C++","17"
"flowtsohg","C++","10"
"Genyaz","C++","29"
"siteshwar","C++","74"
"progtologist","C++","14"
"sajmoon","C++","110"
"Bardo91","C++","28"
"wITTus","C++","207"
"Icemore","C++","17"
"strugee","C++","39"
"pankdm","C++","32"
"smartshallot","C++","14"
"Adam-","C++","384"
"scrawl","C++","632"
"timothy-king","C++","71"
"run","C++","41"
"sanctum32","C++","122"
"emstoudenmire","C++","210"
"dmilith","C++","480"
"ravinet","C++","134"
"SRombauts","C++","472"
"llvm-mirror","C++","9915"
"jakebolewski","C++","14"
"spurious","C++","3642"
"soonhokong","C++","1441"
"MrPepperoni","C++","45"
"zdroid9770","C++","387"
"bakwc","C++","104"
"jackyf","C++","73"
"nthiebaud","C++","822"
"pyrocat101","C++","13"
"jpnurmi","C++","1078"
"p-jackson","C++","11"
"dhh1128","C++","83"
"sukesan1984","C++","45"
"Aokromes","C++","148"
"ugovaretto","C++","333"
"Sqeaky","C++","356"
"mantognini","C++","34"
"nearc","C++","22"
"quannt24","C++","10"
"dennes544","C++","11"
"Skyyrunner","C++","58"
"deanbear","C++","11"
"fabianschuiki","C++","100"
"heffebaycay","C++","28"
"voutasaurus","C++","11"
"Hanmac","C++","58"
"moonrock","C++","42"
"daisukekoba","C++","118"
"yoshimuraYuu","C++","34"
"giginet","C++","706"
"mcostalba","C++","628"
"obryanlouis","C++","32"
"Bootz","C++","309"
"mickem","C++","79"
"poljvd","C++","79"
"Valay","C++","22"
"Mahdi-Rom","C++","201"
"Rendaw","C++","147"
"boss14420","C++","31"
"ProframFiles","C++","44"
"h2so5","C++","178"
"DariusL","C++","148"
"Boshen","C++","13"
"apmorton","C++","14"
"ttaubert","C++","119"
"DrA1ex","C++","22"
"oakad","C++","149"
"zrma","C++","98"
"Underground78","C++","530"
"Falconne","C++","127"
"MihailJP","C++","510"
"Kolkir","C++","41"
"Twinklebear","C++","401"
"Zeex","C++","398"
"nurettin","C++","197"
"rvagg","C++","305"
"coolwanglu","C++","544"
"thomaswihl","C++","52"
"roshanvid","C++","22"
"jktjkt","C++","342"
"rgommers","C++","293"
"yaojiang375","C++","24"
"tierra","C++","868"
"abudnik","C++","344"
"kallaspriit","C++","1516"
"vBm","C++","131"
"xsacha","C++","498"
"Ortofta","C++","18"
"MrKepzie","C++","605"
"KonstaT","C++","283"
"tobier","C++","15"
"LittleLightLittleFire","C++","45"
"sanglin307","C++","47"
"srh","C++","414"
"anirudhSK","C++","4817"
"esteve","C++","50"
"ehsan","C++","25222"
"lkalif","C++","347"
"scunz","C++","505"
"XanClic","C++","32"
"Mokosha","C++","28"
"BlaiseRitchie","C++","34"
"dafuqzz","C++","247"
