"actor","repository_language","pushes"
"neliel","Haskell","56"
"Cletus-Doy-Shinda","Haskell","13"
"phatmann","Haskell","78"
"tonymorris","Haskell","535"
"khyperia","Haskell","12"
"domdere","Haskell","81"
"smurphy8","Haskell","76"
"kazu-yamamoto","Haskell","690"
"jcollard","Haskell","173"
"mstksg","Haskell","164"
"mattkuo","Haskell","13"
"bsummer4","Haskell","35"
"etrepum","Haskell","47"
"fryguybob","Haskell","101"
"jgm","Haskell","1060"
"paf31","Haskell","215"
"jkhulme","Haskell","17"
"mtczerwinski","Haskell","12"
"sethfowler","Haskell","115"
"hanshoglund","Haskell","1214"
"espringe","Haskell","31"
"sonyandy","Haskell","198"
"byorgey","Haskell","1103"
"timthelion","Haskell","29"
"dllu","Haskell","14"
"alexander-b","Haskell","20"
"jorpic","Haskell","214"
"elliottt","Haskell","217"
"teleshoes","Haskell","23"
"djarmstr","Haskell","24"
"evancz","Haskell","646"
"ozataman","Haskell","169"
"kwef","Haskell","32"
"Heather","Haskell","461"
"isaacdomagalski","Haskell","27"
"vincenthz","Haskell","304"
"chrisbarrett","Haskell","259"
"Javran","Haskell","40"
"duairc","Haskell","73"
"hamishmack","Haskell","228"
"psibi","Haskell","25"
"pSub","Haskell","35"
"akamaus","Haskell","67"
"justayak","Haskell","19"
"bitonic","Haskell","452"
"snoyberg","Haskell","1677"
"philopon","Haskell","41"
"banacorn","Haskell","149"
"LeoTestard","Haskell","17"
"myuon","Haskell","24"
"dougalstanton","Haskell","99"
"bergmark","Haskell","288"
"leepike","Haskell","184"
"ericmoritz","Haskell","50"
"Fuuzetsu","Haskell","151"
"nham","Haskell","13"
"travisby","Haskell","49"
"chebert","Haskell","72"
"iand675","Haskell","21"
"master-q","Haskell","350"
"idontgetoutmuch","Haskell","202"
"MoritaYasuaki","Haskell","80"
"InFreefall","Haskell","15"
"strager","Haskell","90"
"larsen","Haskell","11"
"ezyang","Haskell","525"
"tdduong","Haskell","23"
"jetho","Haskell","223"
"gregwebs","Haskell","148"
"TomazMartins","Haskell","13"
"xich","Haskell","298"
"casucci","Haskell","154"
"dimitar9","Haskell","38"
"lfairy","Haskell","128"
"hxw","Haskell","12"
"gip","Haskell","62"
"lkuper","Haskell","248"
"j4","Haskell","65"
"schwering","Haskell","118"
"helmutkian","Haskell","14"
"sol","Haskell","462"
"yanif","Haskell","132"
"jeffers0n","Haskell","21"
"vikraman","Haskell","62"
"abhinav","Haskell","38"
"mjorlitzky","Haskell","22"
"akc","Haskell","24"
"PierreR","Haskell","71"
"aristidb","Haskell","82"
"tfausak","Haskell","55"
"elisehuard","Haskell","39"
"benjaminfrot","Haskell","30"
"trofi","Haskell","1177"
"edwinb","Haskell","523"
"massyl","Haskell","10"
"Daniel-Diaz","Haskell","346"
"ImAlsoGreg","Haskell","300"
"kloplop321","Haskell","123"
"Daiver","Haskell","38"
"raysohn","Haskell","114"
"eeue56","Haskell","40"
"kamaradclimber","Haskell","34"
"andy-morris","Haskell","49"
"cosmo0920","Haskell","378"
"osa1","Haskell","110"
"glguy","Haskell","134"
"schatteleyn","Haskell","38"
"mankyKitty","Haskell","13"
"albertoruiz","Haskell","69"
"gardaud","Haskell","15"
"Raekye","Haskell","18"
"MostAwesomeDude","Haskell","33"
"supki","Haskell","814"
"igrep","Haskell","63"
"svenssonjoel","Haskell","380"
"ddrone","Haskell","56"
"chiro","Haskell","24"
"skypers","Haskell","362"
"lpsmith","Haskell","142"
"dzhus","Haskell","326"
"ian-ross","Haskell","107"
"monoid","Haskell","13"
"scoiatael","Haskell","74"
"Sheeo","Haskell","27"
"i2m","Haskell","64"
"catseye","Haskell","27"
"mf59816","Haskell","197"
"nikita-volkov","Haskell","117"
"benma","Haskell","37"
"jeffreyrosenbluth","Haskell","235"
"alanz","Haskell","244"
"lawrancej","Haskell","22"
"graninas","Haskell","137"
"YoEight","Haskell","322"
"brendanhay","Haskell","744"
"gridaphobe","Haskell","317"
"archblob","Haskell","162"
"pcapriotti","Haskell","32"
"tel","Haskell","203"
"cdupont","Haskell","146"
"mkrull","Haskell","13"
"dgvncsz0f","Haskell","55"
"gibiansky","Haskell","97"
"jamesjb","Haskell","42"
"jaavalli","Haskell","14"
"np","Haskell","204"
"sjdrodge","Haskell","38"
"mgold","Haskell","42"
"Dorvaryn","Haskell","34"
"rwbarton","Haskell","27"
"JoshuaOSHickman","Haskell","15"
"mrdomino","Haskell","32"
