Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Kyrgyzstan,995,0.0001806258039663611,18.06,5508626
Macedonia,434,0.00021057738961669092,21.06,2061000
North Korea,1,4.364491423054213e-08,0.0,22912177
Paraguay,9,1.411580923581714e-06,0.14,6375830
Latvia,3170,0.0014292354852570076,142.92,2217969
Japan,68709,0.0005397916535729998,53.98,127288000
Belarus,12188,0.0012584408879710892,125.84,9685000
Honduras,280,3.5046370729271164e-05,3.5,7989415
Myanmar,161,3.0141699311125505e-06,0.3,53414374
Mexico,2693,2.3944406653735384e-05,2.39,112468855
Egypt,1168,1.4514388872961308e-05,1.45,80471869
Singapore,116,2.4675238759524694e-05,2.47,4701069
Serbia,2396,0.00032621510019201216,32.62,7344847
United Kingdom,105170,0.0016868102584816588,168.68,62348447
Antarctica,12,0,0,0
Greece,4742,0.00043109090909090907,43.11,11000000
Sri Lanka,213,9.90053448941828e-06,0.99,21513990
