"repository_language","actor_attributes_location","loccnt"
"Python","Atlanta, GA","8864"
"JavaScript","Vancouver, Canada","8858"
"PHP","Copenhagen, Denmark","8784"
"Python","Salt Lake City, Utah","8775"
"C++","Tokyo, Japan","8712"
"Python","Sydney, Australia","8711"
"Python","Vancouver, BC","8691"
"JavaScript","Montreal, Canada","8605"
"Python","Oxford, UK","8597"
"Java","Chicago, IL","8565"
"PHP","Montreal, Canada","8511"
"PHP","Chicago, IL","8487"
"PHP","Kuala Lumpur, Malaysia","8476"
"Java","Linz, Austria","8453"
"Ruby","Dallas, TX","8452"
"PHP","Karlsruhe, Germany","8249"
"JavaScript","Lyon, France","8200"
"JavaScript","Cologne, Germany","8196"
"PHP","Tokyo, Japan","8190"
"Java","Atlanta, GA","8158"
"JavaScript","Dublin, Ireland","8151"
"Ruby","Madison, WI","8141"
"Shell","London, UK","8116"
"Java","Portland, OR","8085"
"Python","Zurich, Switzerland","8056"
"Java","Beijing, China","8044"
"JavaScript","Bucharest, Romania","8013"
"Ruby","Issaquah, WA","7981"
"PHP","Austin, TX","7974"
"JavaScript","Guangzhou, China","7936"
"Ruby","Mountain View, CA","7913"
"JavaScript","Baltimore, MD","7893"
"Ruby","Toronto, Canada","7871"
"PHP","Lyon, France","7870"
"PHP","Washington, DC","7785"
"Java","Palo Alto, CA","7773"
"Java","Helsinki, Finland","7717"
"JavaScript","Vienna, Austria","7685"
"Ruby","Minsk, Belarus","7668"
"Java","Cambridge, UK","7646"
"Shell","Paris, France","7634"
"Java","Mountain View, CA","7628"
"C++","Moscow, Russia","7622"
"PHP","Brooklyn, NY","7557"
"Java","Zurich, Switzerland","7547"
"Ruby","Fargo, ND","7518"
"JavaScript","Amsterdam, The Netherlands","7488"
"JavaScript","Zurich, Switzerland","7487"
"JavaScript","Kiev, Ukraine","7470"
"Ruby","Madrid, Spain","7425"
"JavaScript","Nashville, TN","7418"
"Ruby","Charlotte, NC","7371"
"C++","Stockholm, Sweden","7337"
"Java","Montreal, Canada","7319"
"Java","Berkeley, CA","7251"
"Java","Melbourne, Australia","7239"
"C","Melbourne, Australia","7237"
"Java","Munich, Germany","7169"
"Objective-C","Seattle, WA","7134"
"C++","Austin, TX","7124"
"PHP","Moscow, Russia","7121"
"JavaScript","Rochester, NY","7046"
"JavaScript","Ottawa, CA","7017"
"C#","Seattle, WA","6956"
"PHP","Los Angeles, CA","6947"
"JavaScript","Rome, Italy","6932"
"Java","Lyon, France","6854"
"JavaScript","Manchester, UK","6817"
"JavaScript","Seoul, Korea","6780"
"Ruby","Oakland, CA","6775"
"JavaScript","in the cloud, bro","6715"
"Ruby","Baltimore, MD","6700"
"C++","London, UK","6690"
"JavaScript","Prague, Czech Republic","6686"
"PHP","Toronto, Canada","6672"
"PHP","Amsterdam, The Netherlands","6667"
"JavaScript","Brighton, UK","6667"
"Python","Palo Alto, CA","6658"
"Python","San Diego, CA","6645"
"Ruby","Cambridge, UK","6636"
"C++","Shanghai, China","6618"
"Java","Brno, Czech Republic","6612"
"Python","Toronto, ON","6577"
"JavaScript","Houston, TX","6565"
"C","New York, NY","6563"
"PHP","Zurich, Switzerland","6545"
"JavaScript","Austin, Texas","6526"
"Python","Oslo, Norway","6515"
"Shell","Tokyo, Japan","6514"
"Java","Rochester, NY","6513"
"JavaScript","Cincinnati, OH","6506"
"C","Boston, MA","6504"
"Ruby","Vancouver, BC","6436"
"Ruby","Durham, NC","6341"
"Java","Shanghai, China","6321"
"Ruby","San Antonio, TX","6311"
"C++","New York, NY","6311"
"JavaScript","Stanford, CA","6239"
"Python","Ann Arbor, MI","6228"
"JavaScript","Columbus, OH","6223"
"PHP","Melbourne, Australia","6162"
"JavaScript","Sofia, Bulgaria","6159"
"Python","Bangalore, India","6137"
"C++","Madrid, Spain","6135"
"C#","Austin, TX","6125"
"JavaScript","Warsaw, Poland","6122"
"Ruby","Wellington, New Zealand","6097"
"Shell","Seattle, WA","6066"
"Shell","New York, NY","6056"
"JavaScript","California, USA","6036"
"JavaScript","Columbia, SC","6015"
"PHP","Perth, Australia","6010"
"PHP","Nashville, TN","6001"
"Python","Mumbai, India","5988"
"JavaScript","Provo, UT","5964"
"Python","NC, USA","5960"
"Ruby","San Francisco, California","5941"
"C","Portland, OR","5935"
"Python","Cleveland, Ohio","5931"
"Ruby","Prague, Czech Republic","5907"
"Ruby","Beijing, China","5858"
"C++","Paris, France","5841"
"JavaScript","Charlotte, NC","5796"
"Ruby","Columbus, OH","5783"
"Python","Munich, Germany","5776"
"Ruby","Bangalore, India","5765"
"Ruby","Nashville, TN","5753"
"JavaScript","Wellington, New Zealand","5751"
"Python","Madrid, Spain","5720"
"JavaScript","Toulouse, France","5716"
"Python","Russia, Moscow","5705"
"PHP","Beijing, China","5693"
"JavaScript","Auckland, New Zealand","5690"
"Python","Menlo Park, CA","5683"
"C++","Mountain View, CA","5674"
"Python","Athens, Greece","5662"
"Python","Denver, CO","5627"
"Java","Brasilia, Brazil","5621"
"JavaScript","Phoenix, AZ","5604"
"PHP","Nantes, France","5591"
"JavaScript","Santiago, Chile","5576"
"JavaScript","Durham, NC","5560"
"Java","Toronto, Canada","5535"
"JavaScript","Athens, Greece","5512"
"JavaScript","Minsk, Belarus","5506"
"Shell","Austin, TX","5472"
"Ruby","Toronto, ON","5466"
"C++","Oslo, Norway","5464"
"C","San Diego, California","5460"
"C","Oslo, Norway","5446"
"PHP","Atlanta, GA","5440"
"Ruby","Barcelona, Spain","5426"
"PHP","Buenos Aires, Argentina","5422"
"Python","Seoul, Korea","5419"
"Java","Raleigh, NC","5418"
"C++","Berlin, Germany","5409"
"Shell","Melbourne, Australia","5402"
"C#","London, UK","5397"
"JavaScript","Orlando, FL","5388"
"PHP","Milton Keynes, UK","5373"
"JavaScript","Beijing,China","5368"
"JavaScript","Grenoble, France","5347"
"C","Cambridge, MA","5345"
"Python","Vancouver, Canada","5332"
"PHP","Denver, CO","5316"
"C","Sakatoon, SK","5301"
"C#","Sydney, Australia","5288"
"PHP","Toronto, Ontario","5267"
"JavaScript","Rio de Janeiro, Brazil","5257"
"Python","Corvallis, OR","5248"
"C","Austin, TX","5245"
"C++","Chicago, IL","5241"
