"repository_language","actor_attributes_location","loccnt"
"JavaScript","Espoo, Finland","2761"
"C++","Stuttgart, Germany","2753"
"Shell","Beijing, China","2752"
"Ruby","Tomsk, Russia","2752"
"Shell","San Antonio, TX","2745"
"Python","Auckland, New Zealand","2743"
"JavaScript","Bangkok, Thailand","2743"
"PHP","Leeds, UK","2741"
"JavaScript","Calgary, Canada","2730"
"PHP","London, England","2728"
"JavaScript","Santa Monica, CA","2726"
"JavaScript","Irvine, CA","2724"
"Python","Istanbul, Turkey","2723"
"C","Virginia, USA","2714"
"Ruby","Kanagawa, Japan","2706"
"PHP","Kiev, Ukraine","2703"
"JavaScript","Los Gatos, CA","2695"
"Java","Seoul, South Korea","2690"
"Python","Ithaca, NY","2689"
"PHP","Gilbert, Arizona","2688"
"C++","Cambridge, UK","2686"
"JavaScript","Charlottesville, VA","2684"
"C#","Wellington, New Zealand","2684"
"Objective-C","Berkeley, CA","2684"
"Java","Szeged, Hungary","2679"
"Java","Manchester, UK","2677"
"C","Montreal, Canada","2674"
"PHP","Cape Town, South Africa","2670"
"JavaScript","Princeton, NJ","2664"
"JavaScript","Oceanside, California","2658"
"PHP","Mumbai, India","2656"
"Ruby","Miami, FL","2655"
"Java","Vrhnika, Slovenia","2652"
"Python","Edinburgh, UK","2638"
"C","Matsue, Japan","2638"
"JavaScript","Yokohama, Japan","2636"
"Java","San Diego, CA","2636"
"Java","Nashville, AR","2634"
"C","Baltimore, MD","2633"
"C++","Samara, Russia","2633"
"JavaScript","Nantes, France","2629"
"Ruby","Melbourne, Victoria","2628"
"JavaScript","Mesa, AZ","2623"
"PHP","Mannheim, Germany","2621"
"JavaScript","Jakarta, Indonesia","2616"
"PHP","Zagreb, Croatia","2615"
"C","Auckland, New Zealand","2611"
"Ruby","Vancouver, Canada","2609"
"Python","Chapel Hill, NC","2608"
"Ruby","Ghent, Belgium","2608"
"Ruby","Toronto, Ontario","2607"
"JavaScript","Yerevan, Armenia","2603"
"PHP","Auckland, New Zealand","2601"
"JavaScript","Bonn, Germany","2601"
"Java","Minsk, Belarus","2595"
"Ruby","Bremen, Germany","2595"
"JavaScript","Bay Area, CA","2594"
"Java","Ottawa, Canada","2591"
"Java","Krakow, Poland","2590"
"Shell","Europe, Bulgaria","2587"
"PHP","Nairobi, Kenya","2586"
"Objective-C","Cambridge, MA","2583"
"JavaScript","Menlo Park, CA","2581"
"Python","Kiev, Ukraine","2578"
"JavaScript","Cincinnati, Ohio","2571"
"PHP","Nijmegen, The Netherlands","2570"
"C++","Kaiserslautern, Germany","2567"
"JavaScript","Varna, Bulgaria","2564"
