Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population
Zimbabwe,4,3.4329288942587525e-07,0.03,11651858
Germany,84706,0.0010354971012596877,103.55,81802257
Kazakhstan,178,1.1603650586701434e-05,1.16,15340000
Poland,9518,0.00024722077922077925,24.72,38500000
Kyrgyzstan,33,5.990604553658208e-06,0.6,5508626
Macedonia,206,9.995147986414363e-05,10.0,2061000
Paraguay,26,4.07790044590273e-06,0.41,6375830
Latvia,850,0.0003832334897376834,38.32,2217969
Hungary,8396,0.0008411140052093769,84.11,9982000
Belarus,6573,0.0006786783686112545,67.87,9685000
Honduras,115,1.4394045120950658e-05,1.44,7989415
Myanmar,26,4.867603615461261e-07,0.05,53414374
Mexico,4835,4.2989679231641504e-05,4.3,112468855
Egypt,322,4.001398302306114e-06,0.4,80471869
Singapore,8,1.7017406041051514e-06,0.17,4701069
Serbia,1106,0.000150581761607832,15.06,7344847
Comoros,1,1.292980280757738e-06,0.13,773407
United Kingdom,57495,0.0009221560883465148,92.22,62348447
Antarctica,2,0,0,0
Greece,5837,0.0005306363636363637,53.06,11000000
Sri Lanka,20313,0.0009441763243359322,94.42,21513990
Namibia,5,2.3491041221609316e-06,0.23,2128471
Botswana,5,2.4638953100738333e-06,0.25,2029307
