1,0,0.300079821,0,0,0,0,0.007481148,0,0.027993198,0,0.056867977,0,0.023581807,0,0,0,0,0.13619995,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300079821,0,1,0,0,0,0,0,0,0,0,0.003690107,0,0,0,0.00947952,0,0,0.025991185,0
0,0,0,1,0,0,0.098202432,0,0.022022172,0.004051688,0,0,0,0,0,0,0,0.02852868,0,0.018861164
0,0,0,0,1,0,0,0,0,0,0.104400216,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0.109800995,0,0,0,0,0,0,0,0,0
0,0,0,0.098202432,0,0,1,0.003361444,0.078911851,0,0,0.01624953,0,0.035333679,0,0,0,0,0.018646301,0.028591383
0.007481148,0,0,0,0,0,0.003361444,1,0.005094977,0,0,0,0,0.002236811,0,0,0,0,0,0.000590011
0,0,0,0.022022172,0,0,0.078911851,0.005094977,1,0,0,0,0,0,0,0,0,0.02177494,0.009034554,0.009885179
0.027993198,0,0,0.004051688,0,0,0,0,0,1,0,0,0,0,0,0,0,0.078790952,0.053785883,0
0,0,0,0,0.104400216,0.109800995,0,0,0,0,1,0,0,0,0.047604524,0,0.00021214,0,0,0
0.056867977,0,0.003690107,0,0,0,0.01624953,0,0,0,0,1,0,0,0,0,0,0,0.002725452,0.004252873
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.001974027,0,0,0
0.023581807,0,0,0,0,0,0.035333679,0.002236811,0,0,0,0,0,1,0,0,0,0,0.043389683,0.015323347
0,0,0,0,0,0,0,0,0,0,0.047604524,0,0,0,1,0,0,0,0,0
0,0,0.00947952,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003570816,0
0,0,0,0,0,0,0,0,0,0,0.00021214,0,0.001974027,0,0,0,1,0,0,0.013843347
0,0,0,0.02852868,0,0,0,0,0.02177494,0.078790952,0,0,0,0,0,0,0,1,0,0
0.13619995,0,0.025991185,0,0,0,0.018646301,0,0.009034554,0.053785883,0,0.002725452,0,0.043389683,0,0.003570816,0,0,1,0.063501304
0,0,0,0.018861164,0,0,0.028591383,0.000590011,0.009885179,0,0,0.004252873,0,0.015323347,0,0,0.013843347,0,0.063501304,1
