language,total_commits,curse_commits,curse_percentage
PHP,453830,108,0.02379745719762907
Shell,118906,23,0.019343010445225642
Java,568202,102,0.017951362367608702
Python,484852,85,0.01753112289935898
Ruby,640659,112,0.017481999004150414
C++,269953,45,0.01666956840635222
Objective-C,125814,20,0.015896482108509385
JavaScript,949899,140,0.014738409030854858
C,393153,54,0.013735110758407033
