Name
AccDC
Dojo
Glow
jQuery
midori
MooTools
Prototype
YUI Library
Ample SDK
DHTMLX
Ext JS
iX Framework
jQuery UI
Lively Kernel
qooxdoo
Script.aculo.us
SmartClient
Webix
AlloyUI
D3.js
InfoVis
Kinetic.js
Processing.js
Raphaël
SWFObject
Three.js
EaselJS
Highcharts.js
AngularJS
Backbone.js
Chaplin.js
Cappuccino
Echo
Ember.js
Enyo
Google Web Toolkit
JavaScriptMVC
Kendo UI
Knockout
Rialto Toolkit
SproutCore
Web Atoms JS
FuncJS
Google Closure Library
Joose
jsPHP
MochiKit
PDF.js
Rico
Socket.IO
Spry framework
Underscore.js
Wakanda Framework
Handlebars
jQuery Mobile
Mustache
Twitter Bootstrap
ZURB Foundation
Cascade Framework
Jasmine
QUnit
Modernizr
Q
Mocha
